gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,charges_per_month_ratio,avg_monthly_spend,tenure_group,num_services,has_streaming,has_support,is_month_to_month,auto_payment,risk_score
1,0,1,1,-0.7935954176775724,1,1,-0.4956252351292798,-0.7496888920446447,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.07017598118865119,-0.5619697581014478,2,1,0,1,1,0,0.28172787381691766
1,0,0,0,-0.6713122304173017,1,0,-1.5266607506227494,-0.8646801718729704,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,-0.08456721367927007,-1.306648256620591,2,0,0,0,0,1,-0.3268643905313604
1,0,1,0,1.0406523912264887,1,0,1.1806389578020384,1.497482918803432,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,-0.10586198943107142,1.217392371531769,5,4,1,0,0,1,-0.7410522868684704
1,0,0,0,0.6738028294456765,1,1,1.2920573118956877,1.2130157128440826,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,-0.10432196824203839,1.3626847890295533,5,5,1,0,1,0,0.23909088448809743
1,0,0,0,-0.3044626686364894,1,1,1.3519238902146633,0.17615304099860993,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,-0.09439148678172206,1.4473016885938823,3,5,1,1,1,0,0.03478864395416753
0,0,1,1,1.4890240778474815,1,0,1.6096827690880309,2.4742580697871435,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,-0.10766753151476528,1.757730686558187,6,7,1,1,0,1,-1.3163978512043946
0,0,0,0,0.7960860167059473,1,0,-1.4701200933214948,-0.5575588235035519,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,-0.1045343849577671,-1.3041132868008516,5,0,0,0,0,0,-0.34107672030763375
1,0,0,1,1.570546202687662,1,0,1.391834942427314,2.247981348421526,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,-0.10756132315690094,1.4218078835850287,6,5,1,1,0,0,-0.9900218495564023
0,0,1,1,-0.9158786049378431,1,0,-0.32101438169893415,-0.7757621114494176,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-0.05987377047580965,-0.36313183468257626,1,2,0,1,1,1,0.0835166317585334
0,0,0,0,-0.46750691831685043,1,1,0.8380690929767889,-0.18699705296143726,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,-0.08961211067782648,0.8370650197006927,2,3,1,0,1,0,0.5758723418651471
1,1,0,0,-1.2827281667186554,0,1,-0.8381950999545296,-0.9913624891670572,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.4027167322023488,-1.286948200463313,1,2,1,0,1,0,1.0497012649419757
1,0,1,0,-0.8343564800976626,1,0,-1.4983904219721222,-0.9196280479620476,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,-0.06353795882212958,-1.426708881493991,1,0,0,0,0,0,0.026667312653439936
1,0,0,0,-1.2827281667186554,1,0,-1.4867496984100992,-0.9999653280569568,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0.3906620835847455,-1.606275794035153,1,0,0,0,1,0,1.113656748935206
0,0,1,0,1.0406523912264887,1,1,-0.1646960938660534,0.5374943329356524,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,-0.10618061450466444,0.009472702116270363,5,3,0,1,0,1,-1.0857012839431
1,0,1,1,0.6738028294456765,1,0,-0.17467385691921591,0.30155596173983984,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.10458748913669925,0.00939082324612381,5,3,0,1,1,1,-0.3230575164841443
0,0,0,0,-0.1006573565360382,1,1,-0.3176884606812135,-0.3335982510698303,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09609082050755159,-0.31916615656864394,3,2,0,1,1,0,0.14214249208566113
1,0,1,1,0.592280704605496,1,1,1.1473797476248297,1.0863333955499956,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,-0.10416265570524187,1.3042101751256392,4,4,1,0,1,0,0.36014947918956886
1,0,1,1,-1.2827281667186554,0,0,-1.1524946361291517,-0.9955315572444702,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3987339187824358,-1.4416992650404354,1,1,0,0,1,0,1.0832017565574772
1,0,1,0,1.6113072651077522,1,1,0.8447209350122307,1.8011631316168903,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,-0.10772063569369747,0.9214133565709407,6,7,1,1,0,1,-1.3163978512043946
0,0,0,1,-0.6305511679972114,1,1,-0.005051885015451507,-0.5266106620611692,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-0.08387685935315181,0.05268181947004785,2,2,1,0,1,0,0.6162252067656374
0,1,1,0,1.570546202687662,1,1,1.0476021170932035,1.976528693603307,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,-0.10772063569369747,1.1419197041854152,6,5,0,1,0,1,-1.2438134527041413
1,1,1,0,-1.2419671042985652,1,1,1.0193317884425763,-0.9287161751995826,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0.16242032253426625,0.04685859422521967,1,3,1,0,1,1,0.5872929640067953
0,0,1,1,-0.22294054379630893,1,0,0.0431739697415012,-0.18190152531126594,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,-0.09651565393900897,0.25629164344106464,3,4,0,1,0,0,-0.6918167158578091
1,0,0,0,-1.2827281667186554,1,0,-1.4850867379012387,-0.9999432694957008,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.3907151877636777,-1.6054570053336867,1,0,0,0,1,0,1.113656748935206
1,1,0,0,-1.2827281667186554,1,0,-0.6519435229621608,-0.988891930306368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404309857570314,-1.195243865899092,1,0,0,0,1,0,1.1233008298548202
0,0,1,1,1.6113072651077522,1,0,1.1656723132222948,2.1903864449817108,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-0.10793305240942615,1.31723874094337,6,5,1,1,0,0,-0.9902756411595501
1,0,0,0,-1.1196839170382944,1,1,0.16124416587059198,-0.8690477670016886,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.001196035296189224,-0.20641895237674052,1,0,0,0,1,0,0.8344859854726931
0,0,0,0,0.5515196421854057,1,1,0.3308661377743562,0.5565529298609687,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.10405644734737753,0.5363534060453892,4,1,0,0,1,1,0.21498068218906236
1,0,0,0,0.06238689314432279,1,1,1.3801942188652905,0.5569720425248356,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.09933017542241414,1.3849918684123002,3,5,1,0,1,0,0.4119229662317078
0,0,0,0,-0.8751175425177529,1,1,1.0974909323590165,-0.5211842559921556,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,-0.06831733492602514,1.0807168863282153,1,4,1,0,1,0,0.6395740342552296
1,0,1,1,-0.9158786049378431,1,0,-0.5089289192001635,-0.7989897764521466,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.06008618719153834,-0.519890569155694,1,1,0,0,0,0,-0.007086970565209291
0,0,1,1,1.5297851402675717,1,1,0.14461456078198764,1.140685690485157,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,-0.10772063569369747,0.31131424417959735,6,4,1,1,0,1,-1.2075212534540147
0,0,1,1,-0.6305511679972114,1,0,-1.466794172303774,-0.8243350633354665,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,-0.08897486053064041,-1.1752293948804509,2,0,0,0,0,0,-0.07611828662139429
0,0,0,0,1.24445770332694,1,1,0.49882514916926,1.1358769241313154,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,-0.10655234375718967,0.5515665001186323,6,6,1,1,0,1,-1.2793442771448247
0,0,1,0,-0.7935954176775724,1,1,0.37742903202244854,-0.5758674293461589,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,-0.07405258625069983,0.35975378375834105,2,5,1,1,1,0,0.1337673691817858
0,0,0,0,0.6738028294456765,1,1,0.6534804764932807,0.7146686969450734,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.10379092645271666,0.6227618152885263,5,2,1,0,1,0,0.34822127384162527
1,0,0,0,-1.2419671042985652,1,0,-0.518906682253326,-0.9660613194062497,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15164017421103515,-0.8772820118812975,1,1,0,0,1,0,0.9060552175603556
0,0,0,0,-1.2419671042985652,1,1,0.5254325173110274,-0.9452600961416974,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.17978538904508679,-0.3625357565079088,1,1,1,0,1,0,0.9261047542090269
1,0,0,0,0.7960860167059473,1,1,0.49549922815153935,0.8519170650808577,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,-0.10522473928388533,0.6701565804841992,5,5,1,1,0,1,-1.1575243076339101
0,0,1,1,1.4890240778474815,1,1,-0.023344450612916196,0.8679315805528248,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,-0.1072426980833079,0.054158914287492914,6,4,0,1,0,1,-1.2072674618508668
0,1,0,0,0.429236454925135,1,1,0.8447209350122307,0.6846911121979615,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.10278194705300539,0.9211382435672477,4,3,1,0,1,0,0.39720305324913885
0,0,0,0,-0.712073292837392,1,1,1.1390649450805275,-0.37956829272765313,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.078407128923138,0.9835528687026179,2,4,1,1,1,1,-0.08677753395359943
0,1,1,0,-0.3044626686364894,1,1,0.15459232383515015,-0.23563618053125468,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-0.09423217424492554,0.2715211132883371,3,4,1,1,1,1,-0.18271075994344477
0,1,1,0,-0.9974007297780236,1,1,0.5254325173110274,-0.7294611913727524,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.04776601767927422,0.36837071605257177,1,2,0,0,1,1,0.4730867425903129
0,1,1,1,1.1221745160666692,1,1,0.33252909828321653,0.9571584608339638,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,-0.10633992704146096,0.45641342754383574,5,5,1,1,0,1,-1.1582856824433532
1,1,0,0,-0.5897901055771212,1,1,1.017668827933716,-0.23568029765376705,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,-0.08637275576296394,1.084738776429818,2,3,1,0,1,0,0.5781564662934768
0,0,1,1,1.24445770332694,1,1,1.1573575106779928,1.775464907753472,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,-0.10687096883078269,1.293464392207596,6,4,1,1,0,1,-1.207013670247719
1,1,1,1,1.3667408905872107,1,1,1.450038560237429,2.113027070656382,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,-0.10713648972544355,1.5228791608940235,6,6,1,1,0,0,-1.0258064656002335
0,0,1,1,0.06238689314432279,1,0,-1.3271054895594974,-0.6143155016156336,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,-0.10044536317998977,-1.0993997356602578,3,1,0,0,0,1,-0.45908981577133245
0,0,0,0,1.6113072651077522,1,1,1.4184423105690807,2.455971522505793,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,-0.10798615658835833,1.58732438200903,6,5,1,1,0,1,-1.244067244307289
0,0,1,0,0.592280704605496,1,1,1.18562783932862,1.0677821455335712,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.10395023898951318,1.2755198190262615,4,4,1,0,1,0,0.36014947918956886
1,0,0,0,1.1221745160666692,1,1,0.8330802114502078,1.3958370685350787,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.10649923957825749,0.9902898621382821,5,3,1,0,1,0,0.3101525333694644
1,0,1,0,1.6113072651077522,0,0,-0.7567100350203682,0.29789424057131836,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.10772063569369747,-0.607343752781902,6,3,0,1,0,0,-0.917437451056149
0,0,1,1,-0.5897901055771212,1,1,-0.34762174984070127,-0.5866099486779055,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,-0.0850982554685918,-0.2864309842840231,2,2,0,1,0,1,-0.7803899853563699
0,0,0,0,-0.9566396673579334,1,0,0.982746657247647,-0.630660895506443,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,-0.05684683227667579,0.8713788166017403,1,3,1,0,1,0,0.6839875648060839
0,0,0,0,-1.201206041878475,1,1,0.34749574286296053,-0.9011650321906476,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0.04787460857756922,0.0624155795530786,1,4,1,1,1,0,0.3421302753660794
1,0,1,0,0.592280704605496,1,1,0.4672288995009121,0.601574453384777,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.10379092645271666,0.5544748375862406,4,2,0,0,0,0,-0.32864093175339465
0,0,0,0,-0.05989629411594795,1,0,0.4772066625540746,0.09283785513411982,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,-0.0984274043805672,0.6196012909008664,3,5,1,1,0,0,-0.7296316647268222
0,0,1,1,0.7145638918657667,1,0,-1.4867496984100992,-0.5981686347761296,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,-0.10379092645271666,-1.3384369091663169,5,0,0,0,0,0,-0.34056913710133835
1,0,0,0,-0.9158786049378431,1,1,0.49882514916926,-0.6173816416302389,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.06752077224204255,0.7057607883787578,1,2,0,1,1,0,0.3319786112401698
1,0,0,0,-1.2827281667186554,1,0,-0.5255585242887678,-0.9872154796509004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4051595244332287,-1.1330159245876565,1,1,0,1,1,0,0.7070826006925282
0,0,1,1,0.7960860167059473,1,1,-1.4784348958657971,-0.5276915315627206,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,-0.10533094764174969,-1.2622764593107316,5,0,0,0,0,0,-0.341838095117077
1,1,1,1,1.2852187657470302,1,1,1.5548050722956361,2.1230195989054192,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,-0.10692407300971488,1.640725781118659,6,6,1,1,0,0,-1.0258064656002335
1,0,1,1,1.2036966409068497,1,1,-1.3503869366835435,-0.3803624009328747,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,-0.10623371868359663,-1.1956467099402135,6,1,0,0,0,0,-0.4631504814216963
0,0,0,1,-1.201206041878475,1,1,-0.011703727050893342,-0.9305911529063556,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.07671017773773914,-0.4837164843249147,1,3,1,1,1,0,0.39897959447117315
0,1,0,0,0.9591302663863083,1,0,1.518219941100707,1.6997158083998427,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,-0.1057026768942749,1.591437976445196,5,6,1,1,0,0,-0.9402786953394455
0,0,0,0,0.5515196421854057,1,0,-0.30604773711919037,0.1773883204289544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,-0.10426886406310623,-0.06254467690989557,4,1,1,0,0,1,-0.5463941272541546
0,0,1,1,-0.9974007297780236,1,0,-0.3393069472963991,-0.7961001049275906,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.05520060272977843,-0.18131161563497908,1,2,0,1,1,0,0.3408613173503408
1,1,0,0,-0.1006573565360382,1,1,0.3292031772654958,-0.07741012064086902,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,-0.09646254976007679,0.2943456671304105,3,4,1,1,1,0,0.06955809358540789
0,0,1,1,0.5107585797653155,1,1,-1.2955092398911492,-0.4721260157584713,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,-0.10395023898951318,-1.0700412479804837,4,1,0,0,0,1,-0.546140335651007
0,0,0,1,-1.2827281667186554,1,1,0.4821955440806557,-0.9738479915296717,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.40919544203207386,-0.6368299714991049,1,1,1,0,1,0,1.0905617130487617
0,0,1,1,-0.8751175425177529,0,0,-0.4756697090229548,-0.7594387761198643,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,-0.06783939731563558,-0.39324033281289344,1,3,1,1,1,0,0.2954326203868955
0,0,1,0,-1.0381617921981139,1,1,0.3425068613363795,-0.7896369464795377,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.03512722309341706,0.09803288806686074,1,1,0,0,1,0,0.7720532510983492
0,0,0,0,0.38847539250504476,1,1,1.2953832329134085,0.9003135484768573,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,-0.10251642615834453,1.35985178012248,4,5,1,1,1,0,-0.05581495836957516
0,0,1,0,0.6738028294456765,1,1,-1.4867496984100992,-0.5794409162696558,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,-0.10426886406310623,-1.2986732546683097,5,0,0,0,0,0,-0.34107672030763375
1,0,0,0,-0.9566396673579334,1,1,1.1457167871159692,-0.6035288651613748,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.05790891585531925,1.0728008371624398,1,4,1,0,1,1,0.39314238759877496
0,0,1,0,0.10314795556441304,1,1,-0.08986287096733384,-0.03146213754430245,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.1003922590010576,0.07929245226770121,3,2,1,1,0,0,-0.6222778165953285
0,0,1,1,0.6330417670255862,1,0,-1.4701200933214948,-0.5425369432881116,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,-0.1049061142102923,-1.2297508969336859,4,0,0,0,0,0,-0.25681790806258453
0,0,1,1,0.5515196421854057,1,1,-1.4934015404455407,-0.5998450854315973,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,-0.10384403063164885,-1.2902069794951485,4,0,0,0,0,0,-0.25605653325314126
1,0,1,0,-0.14141841895612844,0,0,-1.0344244400000608,-0.5636028692877378,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.09752463333872026,-0.8344298864013595,3,1,1,0,1,0,0.5581069296448053
1,0,1,1,-0.1006573565360382,1,0,0.5719954115591193,0.12504335456810323,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.09832119602270285,0.7791733833522224,3,2,0,0,1,0,0.5213071471883831
1,1,0,0,-1.2827281667186554,1,0,0.32754021675663547,-0.975899437726494,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4087706086006165,-0.7129773207354666,1,1,0,1,1,0,0.7096205167240055
1,0,1,1,1.3667408905872107,1,1,0.6368508714046763,1.5121077449162614,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,-0.1074551147990366,0.8570434640164694,6,6,1,1,0,0,-1.0260602572033812
0,0,0,0,1.3259798281671205,1,1,1.5365125066981715,2.1265489687064036,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,-0.10697717718864704,1.590498007015913,6,6,1,1,1,1,-0.5182232593047557
1,0,0,0,1.6113072651077522,1,1,1.1989315233995035,2.2818632985109772,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,-0.10809236494622267,1.4102662380491604,6,5,1,0,0,0,-0.6095882364379416
0,0,0,0,-0.8343564800976626,1,1,0.46889186000977245,-0.5997347926253165,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.07012287700971903,0.4000709394185394,1,2,0,1,1,0,0.32994827841498814
1,0,1,1,1.570546202687662,1,1,0.06645541686554692,1.0861348684986902,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,-0.10777373987262964,0.22385451024377762,6,4,0,1,0,1,-1.2075212534540147
1,0,0,0,-1.1196839170382944,1,0,-1.4568164092506115,-0.9586275842629262,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,-0.017921469119393036,-1.3147870163131654,1,0,0,0,1,0,0.820781238902715
1,0,0,0,0.7960860167059473,1,0,-1.4584793697594718,-0.520390147786934,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,-0.10522473928388533,-1.2520481508520152,5,0,0,0,0,0,-0.3415843035139293
0,1,1,0,-0.3044626686364894,1,1,1.1191094189742024,0.10047011732874885,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.09444459096065423,1.231203699348102,3,4,1,0,1,0,0.45151445632275494
1,0,0,0,-1.2827281667186554,1,0,-1.4850867379012387,-0.9999432694957008,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0.3907151877636777,-1.6054570053336867,1,0,0,0,1,0,1.113656748935206
0,0,1,1,-1.2827281667186554,1,0,-1.510031145534145,-1.0002741479145432,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0.3898124167218307,-1.6177388358556806,1,0,0,0,1,0,1.1128953741257628
1,0,0,0,0.22543114282468377,1,0,1.002702183353972,0.58183204106052,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,-0.10129503004290455,1.09167555430864,4,4,1,1,0,0,-0.7798824021500744
0,1,1,0,1.3667408905872107,0,0,-0.6419657599089983,0.32668066301059806,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.10729580226224009,-0.4564409951016708,6,3,1,0,0,0,-0.5364962547313928
1,0,1,0,1.4482630154273912,1,1,1.5015903360121026,2.349274261709781,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-0.10761442733583312,1.6767950609956506,6,6,1,1,0,0,-1.026314048806529
1,0,0,0,-1.1196839170382944,0,0,-1.3487239761746832,-0.964649571485856,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.012241704514081202,-1.3892967881465952,1,0,0,0,1,0,0.8423535251702731
